531609805756985345,y,icymi trinity christian wins tapps 4a state volleyball title,http://t.co/vVLuhqOepH,ICYMI: Trinity Christian wins TAPPS 4A state volleyball title   http://t.co/vVLuhqOepH
531087531693993984,y,get the texas tech mens and womens basketball preview special section in saturdays lubbock avalanche journal,,Get the Texas Tech men's and women's basketball preview special section in Saturday's Lubbock Avalanche-Journal. http://t.co/ySEPaoEyIA
530977098995728384,y,get full high school football results including abernathy over tahoka and hale center over olton at,http://t.co/xVIPxiohXi,"Get full high school football results, including Abernathy over Tahoka and Hale Center over Olton at http://t.co/xVIPxiohXi"
530976597013065728,y,tascosa holds off monterey in overtime,http://t.co/mes3FI5X2c,Tascosa holds off Monterey in overtime http://t.co/mes3FI5X2c
530976383351013376,y,spearman runs by idalou for district title,http://t.co/v5KQNxJJOR,Spearman runs by Idalou for district title: http://t.co/v5KQNxJJOR http://t.co/f17XgcoR9L
530975528136634369,y,muleshoe beats littlefield to win district crown,http://t.co/IDbPYO6LW9,Muleshoe beats Littlefield to win district crown http://t.co/IDbPYO6LW9 http://t.co/dCJsZQfxJr
530923951963127808,y,get the texas tech mens and womens basketball preview special section in saturdays lubbock avalanche journal,,Get the Texas Tech men's and women's basketball preview special section in Saturday's Lubbock Avalanche-Journal. http://t.co/CnTEtS5a3R
530906995646140416,y,rt lonestarvarsity follow our live game tracker of montereyhs monterey and tascosa,http://t.co/f3Vqxwt4Cd,RT @LoneStarVarsity: Follow our live Game Tracker of @montereyhs (Monterey) and Tascosa http://t.co/f3Vqxwt4Cd
530906877949796353,y,rt lonestarvarsity follow our live game tracker for levellandlobofb levellandisd levelland against pampa http,http://t.co/v9pjbY7Em5,RT @LoneStarVarsity: Follow our live Game Tracker for @LevellandLoboFB  @LevellandISD (Levelland) against Pampa http://t.co/v9pjbY7Em5 http…
530901794327502848,y,follow the war on 84 littlefield vs muleshoe on live game tracker,http://t.co/2pbaNdFQNw,"Follow ""The War on 84"" Littlefield vs. Muleshoe on http://t.co/2pbaNdFQNw's live Game Tracker  http://t.co/bI65pk91aI"
530901578241171457,y,follow pampa vs levelland on live game tracker,http://t.co/2pbaNdFQNw,Follow Pampa vs. Levelland on http://t.co/2pbaNdFQNw's live Game Tracker   http://t.co/GHLIpSq25y
530901371684265984,y,follow monterey vs tascosa on live game tracker,http://t.co/2pbaNdFQNw,Follow Monterey vs. Tascosa on http://t.co/2pbaNdFQNw's live Game Tracker   http://t.co/b2SLnnwhps
530878855175602176,y,get the texas tech mens and womens basketball preview special section in saturdays lubbock avalanche journal,,Get the Texas Tech men's and women's basketball preview special section in Saturday's Lubbock Avalanche-Journal. http://t.co/n5b96m9FKB
530871131113140224,y,texas tech guard robert turner finds motivation is loss of father at young age,http://t.co/Da2y8N3Nma,Texas Tech guard Robert Turner finds motivation is loss of father at young age  http://t.co/Da2y8N3Nma http://t.co/oL1iFTAAZw
530861846665134080,n,rt ayoungreporter oil and water are part of the mix in lubbock countys growing struggle to catch up on road work,http://t.co/RSW2nDjZpc,RT @AYoungReporter: Oil and water are part of the mix in Lubbock County's growing struggle to catch-up on road work http://t.co/RSW2nDjZpc
530848089527955456,y,a deal is near to have texas tech face a sec team in 2020 2021,http://t.co/kQhzkg8rHb,A deal is near to have Texas Tech face a SEC team in 2020-2021 http://t.co/kQhzkg8rHb
530848025556844544,n,rt sarahrafique hundreds attend memorial for fallen brownfield officer jeremy shedd endofwatch thinblueline http,http://t.co/sJ9pi2XnsI,RT @sarahrafique: Hundreds attend memorial for fallen Brownfield officer Jeremy Shedd http://t.co/sJ9pi2XnsI #EndOfWatch #ThinBlueLine http…
530846986069897216,n,hundreds attend memorial service for fallen brownfield officer,http://t.co/RGRikP8xbl,Hundreds attend memorial service for fallen Brownfield officer http://t.co/RGRikP8xbl http://t.co/U6W2EMJ4PF
530805141143056384,n,hester clark celebrating 100th birthday still continues bible read through tradition,http://t.co/U490g99wME,"Hester Clark, celebrating 100th birthday, still continues Bible read-through tradition http://t.co/U490g99wME http://t.co/tb3lDhK36q"
530801906361188352,y,get the texas tech mens and womens basketball preview special section in saturdays lubbock avalanche journal,,Get the Texas Tech men's and women's basketball preview special section in Saturday's Lubbock Avalanche-Journal. http://t.co/oOclVBhguR
530799088200339456,y,hocutt deal imminent with sec program for future home and home football series,http://t.co/WkOIVlmzog,Hocutt: Deal 'imminent' with SEC program for future home-and-home football series http://t.co/WkOIVlmzog
530796936224604161,n,reward increased to 10 000 for information on texas 10 most wanted fugitive,http://t.co/H0pmEUQJjB,"Reward increased to $10,000 for information on Texas 10 Most Wanted Fugitive http://t.co/H0pmEUQJjB http://t.co/jQTAink7nr"
530761104314490880,y,get the texas tech mens and womens basketball preview special section in saturdays lubbock avalanche journal,,Get the Texas Tech men's and women's basketball preview special section in Saturday's Lubbock Avalanche-Journal. http://t.co/nfqRPbZ5Os
530741132632678401,y,former estacado football star posthumously honored photo a j media thomas box howard,http://t.co/B6M4doAk8i,"Former Estacado football star posthumously honored. (Photo: A-J Media; Thomas ""Box"" Howard). http://t.co/B6M4doAk8i http://t.co/Z4JqJlU0GS"
530588842969948160,y,crosbyton beats lockney finishes regular season undefeated,http://t.co/7jqiisSjFp,"Crosbyton beats Lockney, finishes regular season undefeated: http://t.co/7jqiisSjFp"
530570503279628288,y,monterey tascosa in a tight battle for third place in district 2 6a,http://t.co/Ro5QoQBwnz,"Monterey, Tascosa in a tight battle for third place in District 2-6A:  http://t.co/Ro5QoQBwnz"
530570303768768512,y,the war on 84 means more than ever as muleshoe littlefield battle for the district title,http://t.co/CADMQWSWrR,"""The War on 84"" means more than ever as Muleshoe, Littlefield battle for the district title:  http://t.co/CADMQWSWrR"
530569967976980480,y,idalous winning streak on the line against spearman,http://t.co/QnivIBs6Oa,Idalou's winning streak on the line against Spearman: http://t.co/QnivIBs6Oa http://t.co/3hlgJutJme
530566731849547776,y,rt philterrigno hogan walker with a 10 yd td run frenship leads amarillo high 19 14 7 06 left lsvarsity,,"RT @philterrigno: Hogan Walker with a 10-yd TD run. Frenship leads Amarillo High, 19-14. 7:06 left. #lsvarsity"
530556876875132929,n,lubbock city council votes to purchase troubled downtown omni building,http://t.co/AuYyPuRuVL,Lubbock City Council votes to purchase troubled downtown Omni building http://t.co/AuYyPuRuVL
530551992822013952,y,rt philterrigno half frenship 13 amarillo high 7 lsvarsity,,"RT @philterrigno: HALF: Frenship 13, Amarillo High 7 #lsvarsity"
530551317996261376,n,rt mdotrayaj the council postponed the resolutions regarding funding for the nelcdc they look to convene in open session prior to passin,,RT @mdotrayAJ: The council postponed the resolutions regarding funding for the NELCDC. They look to convene in open session prior to passin…
530550218300084225,n,rt mdotrayaj the city council passed an ordinance 6 0 to allow mobile food vendors in lubbock county,,RT @mdotrayAJ: The city council passed an ordinance 6-0 to allow mobile food vendors in Lubbock County
530549489464254465,n,rt sarahrafique lubbock man arrested on animal cruelty charge accused of killing girlfriends dog,http://t.co/0QeBeUYK1Q,RT @sarahrafique: Lubbock man arrested on animal cruelty charge accused of killing girlfriend's dog http://t.co/0QeBeUYK1Q http://t.co/WRNg…
530542679726505984,y,frenship has forced amarillo punts on its last two possessions the tigers lead 13 7 7 37 left 1q lsvarsity,,Frenship has forced Amarillo punts on its last two possessions. The Tigers lead 13-7. 7:37 left 1Q. #lsvarsity
530513932818325504,n,see which restaurants had violations in this weeks health inspections report,http://t.co/5fsQxWGJQJ,See which restaurants had violations in this week's health inspections report.  http://t.co/5fsQxWGJQJ http://t.co/FbWGfglxSV
530511614609747968,n,cher has postponed her sunday concert new date to be announced soon,http://t.co/otaZnSWIvM,Cher has postponed her Sunday concert; new date to be announced soon  http://t.co/otaZnSWIvM http://t.co/IWDiug0zqn
530493655807959042,y,video daniel paulling discusses terrence steele and quan shorts in the latest wreckem247 weekly recruiting update,http://t.co/kueCgKMfcj,Video | Daniel Paulling discusses Terrence Steele and Quan Shorts in the latest Wreckem247 Weekly Recruiting Update: http://t.co/kueCgKMfcj
530493201275441152,n,rt ayoungreporter new husband and wife owners say they plan to hire back some previous employees others already found new jobs and offe,,RT @AYoungReporter: New husband and wife owners say they plan to hire back some previous employees (others already found new jobs) and offe…
530493112645615616,n,rt ayoungreporter yellow cab of lubbock will reopen with new ownership could take several weeks pending city permit process,http://t.co/RH6dDCXLEx,"RT @AYoungReporter: Yellow Cab of Lubbock will reopen with new ownership. Could take several weeks, pending city permit process http://t.co…"
530478305045393412,n,yellow cab of lubbock to re open under new ownership pending permit process,http://t.co/7IwRuINF7U,Yellow Cab of Lubbock to re-open under new ownership pending permit process http://t.co/7IwRuINF7U http://t.co/Q8pSAarNvj
530415300236562433,y,free three star wide receiver quan shorts making official to texas tech this weekend has named tech favorite,http://t.co/qUboUcXTmj,"FREE | Three-star wide receiver Quan Shorts making official to Texas Tech this weekend, has named Tech favorite: http://t.co/qUboUcXTmj"
530410103728779264,n,rt aj_gabemonte shepard said he didnt want to hurt anybody but said he did dixontrial,,RT @AJ_GabeMonte: Shepard said he didn't want to hurt anybody. But said he did. #dixontrial
530403152088940544,n,buddy hollys 1958 ariel cyclone motorcycle is back in lubbock after 30 years away,,Buddy Holly's 1958 Ariel Cyclone motorcycle is back in Lubbock after 30 years away. http://t.co/A1v2Sa7jNN
530402629084803072,n,more compelling testimony from david shepard in the michael dixon joseph sonnier murder trial from aj_gabemonte dixontrial,,More compelling testimony from David Shepard in the Michael Dixon/Joseph Sonnier murder trial from @AJ_GabeMonte #dixontrial
530112129039212544,y,coach tubby smith helped texas tech mbb improve its perimeter defense a season ago and he ll do it again this year,http://t.co/2H7gJkMIBB,"Coach Tubby Smith helped Texas Tech MBB improve its perimeter defense a season ago, and he’ll do it again this year http://t.co/2H7gJkMIBB"
530111519410094080,n,shepard during dixon murder trial im not a killer im not a hired gun im not an assassin,http://t.co/7qSzBKGGUa,"Shepard during Dixon murder trial: ""I'm not a killer, I'm not a hired gun, I'm not an assassin' http://t.co/7qSzBKGGUa"
530068642260848640,n,at news conference gregabbott_tx work begins today transition to new state government underway,http://t.co/j1nPczX168,"At news conference, @GregAbbott_TX: Work begins today, transition to new state government underway http://t.co/j1nPczX168"
530066123291508737,y,watch as we preview the texastech mens basketball season with aj_kristapirtle,http://t.co/dlD1NcZ6Te,Watch as we preview the #TexasTech Mens Basketball Season with @AJ_KristaPirtle http://t.co/dlD1NcZ6Te http://t.co/VlIivii87V
530065442103361536,n,rt ayoungreporter pro democrat pac bgtx says its just getting started after last nights statewide republican sweep,http://t.co/opzPbXHzka,"RT @AYoungReporter: Pro-Democrat PAC @BGTX says it's ""just getting started"" after last night's statewide Republican sweep http://t.co/opzPb…"
530022537275514880,y,three star wr quan shorts names texas tech his favorite after decommitting from utsa 247 subscription,http://t.co/sYvW4pBTqV,Three-star WR Quan Shorts names Texas Tech his favorite after decommitting from UTSA (247 subscription): http://t.co/sYvW4pBTqV
529845233971134465,n,seminole voters go wet brownfield voters opt against new hospital,http://t.co/qbrz37dG1X,"Seminole voters go wet, Brownfield voters opt against new hospital http://t.co/qbrz37dG1X"
529831832536514562,n,rt ayoungreporter looks like democrats had better turnout on election day compared to early voting in lubbock county but it wont be eno,,"RT @AYoungReporter: Looks like Democrats had better turnout on election day compared to early voting in Lubbock County, but it won't be eno…"
529818905137913857,y,burrows takes early lead over tarbox in south plains house district 83 race,http://t.co/yicE5pYGVE,Burrows takes early lead over Tarbox in South Plains' House District 83 race http://t.co/yicE5pYGVE
529818401750130689,n,rt mdotrayaj i asked neaugebauer if he was nervous and he gave me a smooth answer he said he takes elections seriously and he appreciate,,RT @mdotrayAJ: I asked Neaugebauer if he was nervous and he gave me a smooth answer. He said he takes elections seriously and he appreciate…
529813708898570240,n,rt ayoungreporter in hpuwcd precinct 1 race challenger dan seale takes 55 45 lead over james powell in lubbock county early voting resu,,"RT @AYoungReporter: In @HPUWCD Precinct 1 race, challenger Dan Seale takes 55-45 lead over James Powell in Lubbock County early voting resu…"
529813695090921473,n,rt mdotrayaj the first release of early voting shows burrows with 80 percent of votes and frullo w 74 again its early,,"RT @mdotrayAJ: The first release of early voting shows Burrows with 80 percent of votes and Frullo w/ 74. Again, it's early."
529810143337525248,n,brownfield hospital bond behind in early voting,http://t.co/daopsU7FUo,Brownfield hospital bond behind in early voting http://t.co/daopsU7FUo
529805623936839682,n,follow our election night coverage on coveritlive from our staff and other sources,http://t.co/BLXM7B1uMN,Follow our election night coverage on CoverItLive from our staff and other sources ... http://t.co/BLXM7B1uMN
529785478766022657,y,how offensive tackle terrence steele went from backup to tech commit in one season 247 subscription,http://t.co/leV1UnocpE,How offensive tackle Terrence Steele went from backup to Tech commit in one season (247 subscription): http://t.co/leV1UnocpE
529748813800808448,y,half of the big 12 is bowl eligible w 5 wks left the other 5 teams are doing what they can to extend their seasons,http://t.co/oSLkAmZdN5,Half of the Big 12 is bowl eligible w/ 5 wks left. The other 5 teams are doing what they can to extend their seasons http://t.co/oSLkAmZdN5
529729534460178432,n,vikings peterson avoids jail in plea agreement,http://t.co/TbUfKB2FpG,Vikings' Peterson avoids jail in plea agreement: http://t.co/TbUfKB2FpG http://t.co/pPF51QRkZV
529728517983182849,n,visitation memorial set for brownfield officer killed in weekend crash,http://t.co/8gs8wclVl6,"Visitation, memorial set for Brownfield officer killed in weekend crash http://t.co/8gs8wclVl6"
529717516810346497,n,day 7 prosecutor says joke about dixon gun not really funny at all in sonnier death dixontrial,http://t.co/RUwSNqM4Y8,Day 7: Prosecutor says joke about Dixon gun 'not really funny at all' in Sonnier death #dixontrial http://t.co/RUwSNqM4Y8
529653728651915264,n,want to be in the 34th street miracles christmas parade on dec 13 find out how,http://t.co/j6fghqQCsU,Want to be in the 34th Street Miracles Christmas Parade on Dec. 13? Find out how. http://t.co/j6fghqQCsU http://t.co/YhNdaz94sK
529499304906338304,y,small world kingsbury winds up coaching ex teammate testaverdes son,http://t.co/3vt8hhijD5,Small world: Kingsbury winds up coaching ex-teammate Testaverde's son: http://t.co/3vt8hhijD5 http://t.co/MLa5c2E4lW
529470974081527808,n,comfortably ahead texas gop eyes landslide win,http://t.co/6yjprnDwHz,"Comfortably ahead, Texas GOP eyes landslide win: http://t.co/6yjprnDwHz http://t.co/3fjC5NQV6j"
529466435605516288,n,former tech dc matt wallerstedt hired as a coach at louisiana lafayette,http://t.co/MOUJoJ6sdy,Former Tech DC Matt Wallerstedt hired as a coach at Louisiana-Lafayette: http://t.co/MOUJoJ6sdy
529444369141493761,n,tomorrow is election day dont forget to make your voice heard,http://t.co/tTTqQQKUUS,Tomorrow is Election Day; don't forget to make your voice heard! http://t.co/tTTqQQKUUS http://t.co/3v20p6yI0b
529391982582321152,y,texas tech junior janine beckie named big 12 offensive player of the year,http://t.co/51e8fyvbaG,Texas Tech junior Janine Beckie named Big 12 Offensive Player of the Year http://t.co/51e8fyvbaG
529359685913026560,n,sting idina menzel just a few names set for macys parade who else is in the lineup,http://t.co/qKB23cfFaL,"Sting, Idina Menzel just a few names set for Macy's parade. Who else is in the lineup? http://t.co/qKB23cfFaL http://t.co/0Ru2JJJFon"
529328762895478784,n,investigators homeless man recruited to pass forged prescriptions in lubbock,http://t.co/fMFmFz3eYo,Investigators: Homeless man recruited to pass forged prescriptions in Lubbock http://t.co/fMFmFz3eYo
529323443872083969,n,police seek driver in deadly weekend hit and run crash in central lubbock,http://t.co/wZEoc0qdvC,Police seek driver in deadly weekend hit-and-run crash in Central Lubbock http://t.co/wZEoc0qdvC
529316463824207872,y,who starts whos injured whos se oklahoma state texas tech mbb begins the yr with an exhibition game today 7 pm,http://t.co/qUSE2nLS5a,Who starts? Who's injured? Who's SE Oklahoma State? Texas Tech MBB begins the yr with an exhibition game today @ 7 pm http://t.co/qUSE2nLS5a
529298471082156035,y,slideshow how did techs 2015 commitments do this weekend,http://t.co/bt7smYgIMn,SLIDESHOW | How did Tech's 2015 commitments do this weekend? http://t.co/bt7smYgIMn
529133016904237056,n,red raiders have interesting hobbies check out whose hobby is art woodworking or cooking,http://t.co/UrsivoKdiP,"Red Raiders have interesting hobbies. Check out whose hobby is art, woodworking or cooking:  http://t.co/UrsivoKdiP http://t.co/ZkI69TwQNZ"
529106635772264448,y,texas tech picked up its 13th 2015 commitment this one with some history with red raiders assistant mike jinks,http://t.co/yhk5MuUVg1,"Texas Tech picked up its 13th 2015 commitment, this one with some history with Red Raiders assistant Mike Jinks: http://t.co/yhk5MuUVg1"
529056621150744576,y,joseph wicker enjoyed his visit names texas tech to his top five 247 subscription,http://t.co/V1jSV0qmPa,"Joseph Wicker enjoyed his visit, names Texas Tech to his top five (247 subscription): http://t.co/V1jSV0qmPa"
529047310697631744,n,brownfield police chief says officer positively impacted many lives,http://t.co/JNWYnNK1qq,Brownfield police chief says officer positively impacted many lives http://t.co/JNWYnNK1qq http://t.co/lqYTOBLXYF
529045815831322624,n,rt ayoungreporter conservative cities are often suburbs boring places that are accessories to the cool places which are liberal lub,,"RT @AYoungReporter: ""Conservative cities are often suburbs, boring places that are accessories to the cool places, which are liberal,” @lub…"
529041885898506240,n,no 2 ranking in question lubbock still has conservative credentials political watchers say,http://t.co/6QUtO2jUoJ,"No. 2 ranking in question, Lubbock still has conservative credentials, political watchers say http://t.co/6QUtO2jUoJ"
529020869335859200,n,some headstones tell more than the cold hard facts about a person s time on earth,http://t.co/6i8vxSt3O3,Some headstones tell more than the cold hard facts about a person’s time on Earth... http://t.co/6i8vxSt3O3 http://t.co/Clf3E7zBOQ
529006008040165376,n,the lubbockpolice issued a statement in support of a brownfield officer and his family after a crash that killed two,http://t.co/MKDniU8bts,The @LubbockPolice issued a statement in support of a Brownfield officer and his family after a crash that killed two http://t.co/MKDniU8bts
529003413322104832,n,2 men including brownfield officer killed in 3 vehicle crash sunday morning,http://t.co/MKDniU8bts,"2 men, including Brownfield officer, killed in 3-vehicle crash Sunday morning http://t.co/MKDniU8bts"
528967470590066689,n,vehicle strikes kills pedestrian saturday night in west lubbock,http://t.co/cDr2rQOYeH,"Vehicle strikes, kills pedestrian Saturday night in West Lubbock http://t.co/cDr2rQOYeH"
528916414002757632,y,transcript kliff kingsbury discusses techs offensive woes and webb mahomes,http://t.co/Iit2zghAv2,Transcript | Kliff Kingsbury discusses Tech's offensive woes and Webb/Mahomes: http://t.co/Iit2zghAv2
528780556280946688,y,here is the aj postgame show as we recap texastechs 34 13 loss to texas,http://t.co/wuFE9qbbos,Here is the AJ Postgame show as we recap #TexasTech's 34-13 loss to Texas. http://t.co/wuFE9qbbos http://t.co/VRaRd7gZ8i
